"","OperationalName","Synonyms","OperationalName_NoBrackets","Synonyms_NoOperationalName"
"116","Temnostoma excentrica (vespiforme)","Temnostoma excentrica, Temnostoma excentricum, Temnostoma vespiforme","Temnostoma excentrica","Temnostoma excentricum, Temnostoma vespiforme"
"117","Toxomerus marginatus","Toxomerus marginata","Toxomerus marginatus","Toxomerus marginata"
"118","Volucella bombylans","Volucella bombylans-complex","Volucella bombylans","Volucella bombylans-complex"
"119","Volucella facialis (lateralis,rufomaculata)","Volucella fascialis, Volucella lateralis, Volucella rufomaculata, Volucella facialis","Volucella facialis","Volucella fascialis, Volucella lateralis, Volucella rufomaculata"
"120","Xanthogramma (Philhelius) flavipes","Xanthogramma flavipes, Philhelius flavipes","Xanthogramma flavipes","Philhelius flavipes"
"121","Xylota lovetti (oregona)","Xylota oregona, Xylota lovetti","Xylota lovetti","Xylota oregona"
"122","Xylota naknek (atlantica)","Xylota atlantica, Xylota naknek","Xylota naknek","Xylota atlantica"
"123","Xylota quadrimaculata (artemita)","Xylota artemita, Xylota quadrimaculata","Xylota quadrimaculata","Xylota artemita"
"124","Xylota (Brachypalpoides) bicolor","Xylota bicolor, Brachypalpoides bicolor","Xylota bicolor","Brachypalpoides bicolor"
"125","Xylota tuberculata","Xylota tuberculatus","Xylota tuberculata","Xylota tuberculatus"
